order,study_folder,study_file,raw_file,sample_name
79,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_22_1,noFaims-iw-60k-118ms-12th-1ov_1
80,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_22_2,noFaims-iw-60k-118ms-12th-1ov_2
81,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_23_1,noFaims-ov-60k-118ms-6th-3ov_1
82,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_23_2,noFaims-ov-60k-118ms-6th-3ov_2
83,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_24_1,noFaims-ov-60k-118ms-12th-6ov_1
84,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_24_2,noFaims-ov-60k-118ms-12th-6ov_2
85,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_25_1,noFaims-ov-60k-118ms-6th-4ov_1
86,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_25_2,noFaims-ov-60k-118ms-6th-4ov_2
87,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_26_1,noFaims-ov-60k-118ms-12th-8ov_1
88,figure-5,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_26_2,noFaims-ov-60k-118ms-12th-8ov_2
