order,study_folder,study_file,raw_file,sample_name
54,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_05_2,noFaims-res-15k-118ms-6th-1ov_2
55,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_06_1,noFaims-res-30k-118ms-6th-1ov_1
56,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_06_2,noFaims-res-30k-118ms-6th-1ov_2
57,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_07_1,noFaims-res-60k-118ms-6th-1ov_1
58,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_07_2,noFaims-res-60k-118ms-6th-1ov_2
59,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_08_1,noFaims-res-120k-118ms-6th-1ov_1
60,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_08_2,noFaims-res-120k-118ms-6th-1ov_2
61,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_09_1,noFaims-it-60k-20ms-2th-1ov_1
62,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_09_2,noFaims-it-60k-20ms-2th-1ov_2
63,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_10_1,noFaims-it-60k-60ms-2th-1ov_1
64,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_10_2,noFaims-it-60k-60ms-2th-1ov_2
65,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_12_1,noFaims-it-60k-180ms-2th-1ov_1
66,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_12_2,noFaims-it-60k-180ms-2th-1ov_2
67,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_13_1,noFaims-it-60k-360ms-2th-1ov_1
68,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_13_2,noFaims-it-60k-360ms-2th-1ov_2
69,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_14_1,noFaims-it-60k-20ms-1th-0.5ov_1
70,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_14_2,noFaims-it-60k-20ms-1th-0.5ov_2
71,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_15_1,noFaims-it-60k-60ms-1th-0.5ov_1
72,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_15_2,noFaims-it-60k-60ms-1th-0.5ov_2
73,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_17_1,noFaims-it-60k-180ms-1th-0.5ov_1
74,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_17_2,noFaims-it-60k-180ms-1th-0.5ov_2
75,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_18_1,noFaims-it-60k-360ms-1th-0.5ov_1
76,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_18_2,noFaims-it-60k-360ms-1th-0.5ov_2
77,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_20_1,noFaims-iw-60k-118ms-3th-1ov_1
78,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_20_2,noFaims-iw-60k-118ms-3th-1ov_2
79,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_22_1,noFaims-iw-60k-118ms-12th-1ov_1
80,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_22_2,noFaims-iw-60k-118ms-12th-1ov_2
81,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_23_1,noFaims-ov-60k-118ms-6th-3ov_1
82,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_23_2,noFaims-ov-60k-118ms-6th-3ov_2
83,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_24_1,noFaims-ov-60k-118ms-12th-6ov_1
84,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_24_2,noFaims-ov-60k-118ms-12th-6ov_2
85,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_25_1,noFaims-ov-60k-118ms-6th-4ov_1
86,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_25_2,noFaims-ov-60k-118ms-6th-4ov_2
87,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_26_1,noFaims-ov-60k-118ms-12th-8ov_1
88,Chimerys,CHIMERYS-DISPA-mcf7_MS2_2024-10-14.pdResult,20190406_MCF7_nFAIMS_26_2,noFaims-ov-60k-118ms-12th-8ov_2
